id,slug,name,description,price,category_id,image_url,sizes,colors,stock,is_featured,rating,created_at
p055,slim-mohair-gloves-55,Slim Mohair Gloves,"Slim mohair gloves crafted with premium materials, designed for everyday luxury.",427.21,c3,/images/slim-mohair-gloves-55.jpg,"[""One Size""]","[""Black"", ""Ivory"", ""Charcoal""]",106,False,4.8,2025-08-03T00:00:00
p056,vintage-cashmere-gown-56,Vintage Cashmere Gown,"Vintage cashmere gown crafted with premium materials, designed for everyday luxury.",505.87,c1,/images/vintage-cashmere-gown-56.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Black"", ""Sage"", ""Burgundy"", ""Brown""]",20,False,3.7,2025-05-30T00:00:00
p057,vintage-suede-mules-57,Vintage Suede Mules,"Vintage suede mules crafted with premium materials, designed for everyday luxury.",730.6,c4,/images/vintage-suede-mules-57.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Ivory"", ""Beige""]",132,False,4.1,2025-02-01T00:00:00
p058,sculpted-satin-cream-58,Sculpted Satin Cream,"Sculpted satin cream crafted with premium materials, designed for everyday luxury.",30.13,c6,/images/sculpted-satin-cream-58.jpg,"[""One Size""]","[""Rust"", ""Blush"", ""Charcoal"", ""Ivory""]",115,False,4.1,2025-01-15T00:00:00
p059,tailored-organza-chinos-59,Tailored Organza Chinos,"Tailored organza chinos crafted with premium materials, designed for everyday luxury.",394.36,c2,/images/tailored-organza-chinos-59.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Cream"", ""Burgundy""]",142,True,4.6,2025-04-26T00:00:00
p060,classic-leather-pants-60,Classic Leather Pants,"Classic leather pants crafted with premium materials, designed for everyday luxury.",697.48,c5,/images/classic-leather-pants-60.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Blush"", ""Cream""]",62,False,3.6,2025-09-14T00:00:00
p061,heritage-silk-skirt-61,Heritage Silk Skirt,"Heritage silk skirt crafted with premium materials, designed for everyday luxury.",571.46,c1,/images/heritage-silk-skirt-61.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Olive"", ""Camel""]",4,False,4.4,2025-02-12T00:00:00
p062,couture-linen-tote-62,Couture Linen Tote,"Couture linen tote crafted with premium materials, designed for everyday luxury.",697.16,c3,/images/couture-linen-tote-62.jpg,"[""One Size""]","[""Sage"", ""Grey""]",136,False,4.1,2025-01-15T00:00:00
p063,signature-organza-necklace-63,Signature Organza Necklace,"Signature organza necklace crafted with premium materials, designed for everyday luxury.",371.81,c3,/images/signature-organza-necklace-63.jpg,"[""One Size""]","[""Charcoal"", ""Burgundy""]",101,False,4.4,2025-01-04T00:00:00
p064,tailored-tweed-skirt-64,Tailored Tweed Skirt,"Tailored tweed skirt crafted with premium materials, designed for everyday luxury.",444.11,c5,/images/tailored-tweed-skirt-64.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Cream"", ""Charcoal""]",176,False,4.9,2025-08-04T00:00:00
p065,luxe-mohair-sunglasses-65,Luxe Mohair Sunglasses,"Luxe mohair sunglasses crafted with premium materials, designed for everyday luxury.",344.6,c3,/images/luxe-mohair-sunglasses-65.jpg,"[""One Size""]","[""Brown"", ""Sage""]",49,True,4.1,2025-09-14T00:00:00
p066,couture-denim-belt-66,Couture Denim Belt,"Couture denim belt crafted with premium materials, designed for everyday luxury.",285.49,c3,/images/couture-denim-belt-66.jpg,"[""One Size""]","[""Blush"", ""Olive""]",75,False,4.4,2025-01-29T00:00:00
p067,signature-denim-boots-67,Signature Denim Boots,"Signature denim boots crafted with premium materials, designed for everyday luxury.",234.11,c4,/images/signature-denim-boots-67.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Sage"", ""Rust"", ""Cream"", ""Navy""]",119,False,3.9,2025-08-13T00:00:00
p068,soft-tweed-pants-68,Soft Tweed Pants,"Soft tweed pants crafted with premium materials, designed for everyday luxury.",349.33,c5,/images/soft-tweed-pants-68.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Cream"", ""Black"", ""Beige""]",147,True,4.1,2025-09-12T00:00:00
p069,essential-suede-cream-69,Essential Suede Cream,"Essential suede cream crafted with premium materials, designed for everyday luxury.",46.39,c6,/images/essential-suede-cream-69.jpg,"[""One Size""]","[""Cream"", ""Charcoal""]",138,False,4.9,2025-01-17T00:00:00
p070,refined-mohair-espadrilles-70,Refined Mohair Espadrilles,"Refined mohair espadrilles crafted with premium materials, designed for everyday luxury.",708.94,c4,/images/refined-mohair-espadrilles-70.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Blush"", ""Black"", ""Cream"", ""Rust""]",180,False,4.5,2025-02-02T00:00:00
p071,modern-denim-hat-71,Modern Denim Hat,"Modern denim hat crafted with premium materials, designed for everyday luxury.",277.5,c3,/images/modern-denim-hat-71.jpg,"[""One Size""]","[""Black"", ""Grey"", ""Ivory"", ""Beige""]",11,True,3.9,2025-03-26T00:00:00
p072,luxe-leather-eyeliner-72,Luxe Leather Eyeliner,"Luxe leather eyeliner crafted with premium materials, designed for everyday luxury.",381.88,c6,/images/luxe-leather-eyeliner-72.jpg,"[""One Size""]","[""Olive"", ""Burgundy""]",119,True,4.2,2025-05-24T00:00:00
p073,classic-satin-chinos-73,Classic Satin Chinos,"Classic satin chinos crafted with premium materials, designed for everyday luxury.",704.51,c2,/images/classic-satin-chinos-73.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""White"", ""Black"", ""Camel""]",104,False,4.5,2025-07-02T00:00:00
p074,vintage-silk-suit-74,Vintage Silk Suit,"Vintage silk suit crafted with premium materials, designed for everyday luxury.",697.33,c2,/images/vintage-silk-suit-74.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Navy"", ""Blush""]",61,True,4.9,2025-01-06T00:00:00
p075,tailored-suede-brogues-75,Tailored Suede Brogues,"Tailored suede brogues crafted with premium materials, designed for everyday luxury.",36.98,c4,/images/tailored-suede-brogues-75.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Blush"", ""Charcoal"", ""Brown"", ""Rust""]",63,False,3.8,2025-02-27T00:00:00
p076,tailored-silk-bracelet-76,Tailored Silk Bracelet,"Tailored silk bracelet crafted with premium materials, designed for everyday luxury.",393.37,c3,/images/tailored-silk-bracelet-76.jpg,"[""One Size""]","[""Grey"", ""Navy""]",92,False,4.3,2025-08-11T00:00:00
p077,luxe-denim-espadrilles-77,Luxe Denim Espadrilles,"Luxe denim espadrilles crafted with premium materials, designed for everyday luxury.",71.57,c4,/images/luxe-denim-espadrilles-77.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Olive"", ""Beige""]",127,False,4.6,2025-02-24T00:00:00
p078,sculpted-jersey-trousers-78,Sculpted Jersey Trousers,"Sculpted jersey trousers crafted with premium materials, designed for everyday luxury.",647.82,c2,/images/sculpted-jersey-trousers-78.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Black"", ""Grey"", ""Burgundy"", ""Cream""]",141,False,3.8,2025-01-25T00:00:00
p079,premium-knit-jumpsuit-79,Premium Knit Jumpsuit,"Premium knit jumpsuit crafted with premium materials, designed for everyday luxury.",502.7,c1,/images/premium-knit-jumpsuit-79.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Navy"", ""Brown"", ""Beige"", ""Charcoal""]",21,True,4.2,2025-01-03T00:00:00
p080,tailored-wool-trousers-80,Tailored Wool Trousers,"Tailored wool trousers crafted with premium materials, designed for everyday luxury.",87.09,c2,/images/tailored-wool-trousers-80.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Brown"", ""Navy"", ""Ivory""]",56,False,3.6,2025-02-28T00:00:00
p081,classic-linen-slippers-81,Classic Linen Slippers,"Classic linen slippers crafted with premium materials, designed for everyday luxury.",505.57,c4,/images/classic-linen-slippers-81.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Sage"", ""Charcoal"", ""Navy""]",91,False,3.9,2025-08-09T00:00:00
p082,vintage-cotton-bracelet-82,Vintage Cotton Bracelet,"Vintage cotton bracelet crafted with premium materials, designed for everyday luxury.",510.65,c3,/images/vintage-cotton-bracelet-82.jpg,"[""One Size""]","[""Ivory"", ""Brown"", ""Cream""]",74,False,4.7,2025-01-30T00:00:00
p083,premium-jersey-dress-83,Premium Jersey Dress,"Premium jersey dress crafted with premium materials, designed for everyday luxury.",198.26,c5,/images/premium-jersey-dress-83.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Burgundy"", ""Sage""]",60,True,4.8,2025-05-15T00:00:00
p084,relaxed-cashmere-espadrilles-84,Relaxed Cashmere Espadrilles,"Relaxed cashmere espadrilles crafted with premium materials, designed for everyday luxury.",474.55,c4,/images/relaxed-cashmere-espadrilles-84.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Camel"", ""Olive""]",106,False,4.5,2025-01-02T00:00:00
p085,oversized-satin-tote-85,Oversized Satin Tote,"Oversized satin tote crafted with premium materials, designed for everyday luxury.",230.9,c3,/images/oversized-satin-tote-85.jpg,"[""One Size""]","[""Beige"", ""Camel"", ""Cream"", ""Grey""]",96,False,4.6,2025-04-12T00:00:00
p086,classic-silk-brogues-86,Classic Silk Brogues,"Classic silk brogues crafted with premium materials, designed for everyday luxury.",165.72,c4,/images/classic-silk-brogues-86.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Sage"", ""Grey"", ""Olive""]",91,False,4.3,2025-03-25T00:00:00
p087,bold-tweed-boots-87,Bold Tweed Boots,"Bold tweed boots crafted with premium materials, designed for everyday luxury.",37.84,c4,/images/bold-tweed-boots-87.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Beige"", ""Sage"", ""Navy"", ""Cream""]",160,True,3.7,2025-02-21T00:00:00
p088,classic-cashmere-wallet-88,Classic Cashmere Wallet,"Classic cashmere wallet crafted with premium materials, designed for everyday luxury.",56.68,c3,/images/classic-cashmere-wallet-88.jpg,"[""One Size""]","[""Beige"", ""Olive"", ""Brown""]",65,True,3.9,2025-03-03T00:00:00
p089,premium-jersey-eyeliner-89,Premium Jersey Eyeliner,"Premium jersey eyeliner crafted with premium materials, designed for everyday luxury.",257.07,c6,/images/premium-jersey-eyeliner-89.jpg,"[""One Size""]","[""Olive"", ""Grey"", ""Navy"", ""Black""]",163,True,3.7,2025-02-21T00:00:00
p090,relaxed-satin-flats-90,Relaxed Satin Flats,"Relaxed satin flats crafted with premium materials, designed for everyday luxury.",147.34,c4,/images/relaxed-satin-flats-90.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Black"", ""Brown"", ""Navy""]",33,False,3.5,2025-08-02T00:00:00
p091,modern-suede-trousers-91,Modern Suede Trousers,"Modern suede trousers crafted with premium materials, designed for everyday luxury.",210.74,c2,/images/modern-suede-trousers-91.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Charcoal"", ""Olive"", ""White""]",43,False,3.7,2025-07-21T00:00:00
p092,slim-satin-clutch-92,Slim Satin Clutch,"Slim satin clutch crafted with premium materials, designed for everyday luxury.",510.27,c3,/images/slim-satin-clutch-92.jpg,"[""One Size""]","[""Olive"", ""Camel"", ""Burgundy""]",48,False,4.0,2025-01-12T00:00:00
p093,minimal-leather-cream-93,Minimal Leather Cream,"Minimal leather cream crafted with premium materials, designed for everyday luxury.",661.08,c6,/images/minimal-leather-cream-93.jpg,"[""One Size""]","[""Navy"", ""Grey"", ""Black""]",51,False,4.8,2025-03-20T00:00:00
p094,slim-suede-overcoat-94,Slim Suede Overcoat,"Slim suede overcoat crafted with premium materials, designed for everyday luxury.",178.22,c2,/images/slim-suede-overcoat-94.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Camel"", ""Navy"", ""Brown""]",16,False,4.7,2025-08-11T00:00:00
p095,relaxed-cotton-eyeliner-95,Relaxed Cotton Eyeliner,"Relaxed cotton eyeliner crafted with premium materials, designed for everyday luxury.",708.51,c6,/images/relaxed-cotton-eyeliner-95.jpg,"[""One Size""]","[""Grey"", ""Black""]",55,False,4.9,2025-01-16T00:00:00
p096,slim-linen-overcoat-96,Slim Linen Overcoat,"Slim linen overcoat crafted with premium materials, designed for everyday luxury.",642.8,c2,/images/slim-linen-overcoat-96.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Rust"", ""Black""]",134,False,4.7,2025-08-30T00:00:00
p097,tailored-satin-romper-97,Tailored Satin Romper,"Tailored satin romper crafted with premium materials, designed for everyday luxury.",148.91,c5,/images/tailored-satin-romper-97.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Brown"", ""Ivory"", ""Charcoal""]",168,True,3.6,2025-03-19T00:00:00
p098,signature-leather-cream-98,Signature Leather Cream,"Signature leather cream crafted with premium materials, designed for everyday luxury.",282.76,c6,/images/signature-leather-cream-98.jpg,"[""One Size""]","[""Olive"", ""Blush"", ""Brown"", ""Beige""]",107,False,4.8,2025-02-16T00:00:00
p099,refined-tweed-blazer-99,Refined Tweed Blazer,"Refined tweed blazer crafted with premium materials, designed for everyday luxury.",120.72,c1,/images/refined-tweed-blazer-99.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Camel"", ""White"", ""Grey"", ""Ivory""]",152,False,4.7,2025-09-03T00:00:00
p100,minimal-mohair-jacket-100,Minimal Mohair Jacket,"Minimal mohair jacket crafted with premium materials, designed for everyday luxury.",567.64,c1,/images/minimal-mohair-jacket-100.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Rust"", ""Olive"", ""Burgundy"", ""Camel""]",95,False,4.5,2025-06-23T00:00:00
p101,slim-cashmere-jacket-101,Slim Cashmere Jacket,"Slim cashmere jacket crafted with premium materials, designed for everyday luxury.",53.45,c2,/images/slim-cashmere-jacket-101.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Sage"", ""Cream"", ""Blush""]",24,False,3.8,2025-02-23T00:00:00
p102,classic-silk-toner-102,Classic Silk Toner,"Classic silk toner crafted with premium materials, designed for everyday luxury.",436.18,c6,/images/classic-silk-toner-102.jpg,"[""One Size""]","[""Ivory"", ""Rust"", ""White"", ""Grey""]",34,False,4.6,2025-09-12T00:00:00
p103,refined-satin-sunglasses-103,Refined Satin Sunglasses,"Refined satin sunglasses crafted with premium materials, designed for everyday luxury.",634.62,c3,/images/refined-satin-sunglasses-103.jpg,"[""One Size""]","[""Cream"", ""Ivory"", ""Grey""]",166,True,3.7,2025-01-28T00:00:00
p104,vintage-cashmere-eyeliner-104,Vintage Cashmere Eyeliner,"Vintage cashmere eyeliner crafted with premium materials, designed for everyday luxury.",700.04,c6,/images/vintage-cashmere-eyeliner-104.jpg,"[""One Size""]","[""Sage"", ""Ivory""]",35,True,4.5,2025-04-02T00:00:00
p105,heritage-satin-jacket-105,Heritage Satin Jacket,"Heritage satin jacket crafted with premium materials, designed for everyday luxury.",149.06,c5,/images/heritage-satin-jacket-105.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Ivory"", ""Black"", ""Grey"", ""Beige""]",124,False,5.0,2025-09-16T00:00:00
p106,soft-cotton-highlighter-106,Soft Cotton Highlighter,"Soft cotton highlighter crafted with premium materials, designed for everyday luxury.",328.33,c6,/images/soft-cotton-highlighter-106.jpg,"[""One Size""]","[""Cream"", ""Black"", ""Ivory""]",120,False,4.1,2025-02-15T00:00:00
p107,sculpted-wool-gloves-107,Sculpted Wool Gloves,"Sculpted wool gloves crafted with premium materials, designed for everyday luxury.",96.95,c3,/images/sculpted-wool-gloves-107.jpg,"[""One Size""]","[""Cream"", ""Sage"", ""Navy""]",90,False,4.3,2025-09-01T00:00:00
p108,tailored-satin-toner-108,Tailored Satin Toner,"Tailored satin toner crafted with premium materials, designed for everyday luxury.",186.43,c6,/images/tailored-satin-toner-108.jpg,"[""One Size""]","[""Ivory"", ""Grey""]",47,True,4.5,2025-08-29T00:00:00
p109,oversized-cashmere-brogues-109,Oversized Cashmere Brogues,"Oversized cashmere brogues crafted with premium materials, designed for everyday luxury.",709.41,c4,/images/oversized-cashmere-brogues-109.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Blush"", ""Cream"", ""Burgundy""]",32,False,3.6,2025-04-16T00:00:00
p110,couture-linen-dress-110,Couture Linen Dress,"Couture linen dress crafted with premium materials, designed for everyday luxury.",731.95,c1,/images/couture-linen-dress-110.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Grey"", ""Burgundy"", ""Brown"", ""Sage""]",2,False,3.6,2025-04-07T00:00:00
p111,soft-cashmere-coat-111,Soft Cashmere Coat,"Soft cashmere coat crafted with premium materials, designed for everyday luxury.",527.32,c2,/images/soft-cashmere-coat-111.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Brown"", ""White""]",125,False,4.9,2025-02-22T00:00:00
p112,classic-tweed-hoodie-112,Classic Tweed Hoodie,"Classic tweed hoodie crafted with premium materials, designed for everyday luxury.",103.85,c2,/images/classic-tweed-hoodie-112.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""White"", ""Charcoal""]",44,True,4.7,2025-08-18T00:00:00
p113,sculpted-tweed-blush-113,Sculpted Tweed Blush,"Sculpted tweed blush crafted with premium materials, designed for everyday luxury.",44.64,c6,/images/sculpted-tweed-blush-113.jpg,"[""One Size""]","[""Blush"", ""Olive""]",13,False,4.1,2025-06-20T00:00:00
p114,classic-cashmere-sunglasses-114,Classic Cashmere Sunglasses,"Classic cashmere sunglasses crafted with premium materials, designed for everyday luxury.",459.58,c3,/images/classic-cashmere-sunglasses-114.jpg,"[""One Size""]","[""Grey"", ""Brown""]",30,False,3.5,2025-04-15T00:00:00
p115,minimal-linen-sunglasses-115,Minimal Linen Sunglasses,"Minimal linen sunglasses crafted with premium materials, designed for everyday luxury.",249.73,c3,/images/minimal-linen-sunglasses-115.jpg,"[""One Size""]","[""Navy"", ""Burgundy"", ""Sage""]",120,False,4.4,2025-03-21T00:00:00
p116,soft-tweed-coat-116,Soft Tweed Coat,"Soft tweed coat crafted with premium materials, designed for everyday luxury.",364.29,c2,/images/soft-tweed-coat-116.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Blush"", ""Sage"", ""Beige""]",56,True,4.2,2025-06-19T00:00:00
p117,sculpted-velvet-brogues-117,Sculpted Velvet Brogues,"Sculpted velvet brogues crafted with premium materials, designed for everyday luxury.",607.7,c4,/images/sculpted-velvet-brogues-117.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Rust"", ""Olive"", ""White""]",69,False,4.8,2025-02-20T00:00:00
p118,cropped-knit-pants-118,Cropped Knit Pants,"Cropped knit pants crafted with premium materials, designed for everyday luxury.",428.83,c5,/images/cropped-knit-pants-118.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Navy"", ""Sage""]",135,True,4.5,2025-09-18T00:00:00
p119,refined-leather-brogues-119,Refined Leather Brogues,"Refined leather brogues crafted with premium materials, designed for everyday luxury.",460.83,c4,/images/refined-leather-brogues-119.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Blush"", ""Burgundy""]",74,False,4.5,2025-02-12T00:00:00
p120,couture-cotton-romper-120,Couture Cotton Romper,"Couture cotton romper crafted with premium materials, designed for everyday luxury.",285.3,c5,/images/couture-cotton-romper-120.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Blush"", ""Beige"", ""Charcoal"", ""Cream""]",177,False,3.7,2025-06-05T00:00:00
p121,modern-velvet-loafers-121,Modern Velvet Loafers,"Modern velvet loafers crafted with premium materials, designed for everyday luxury.",211.88,c4,/images/modern-velvet-loafers-121.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Charcoal"", ""Navy"", ""Olive"", ""Blush""]",59,False,3.6,2025-06-08T00:00:00
p122,sculpted-wool-vest-122,Sculpted Wool Vest,"Sculpted wool vest crafted with premium materials, designed for everyday luxury.",147.79,c2,/images/sculpted-wool-vest-122.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Ivory"", ""Sage"", ""Beige"", ""Cream""]",85,True,3.9,2025-06-27T00:00:00
p123,modern-jersey-trousers-123,Modern Jersey Trousers,"Modern jersey trousers crafted with premium materials, designed for everyday luxury.",353.98,c2,/images/modern-jersey-trousers-123.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Burgundy"", ""Blush""]",44,True,4.5,2025-02-22T00:00:00
p124,soft-satin-loafers-124,Soft Satin Loafers,"Soft satin loafers crafted with premium materials, designed for everyday luxury.",240.24,c4,/images/soft-satin-loafers-124.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Camel"", ""Cream""]",115,False,4.9,2025-09-07T00:00:00
p125,structured-tweed-watch-125,Structured Tweed Watch,"Structured tweed watch crafted with premium materials, designed for everyday luxury.",456.14,c3,/images/structured-tweed-watch-125.jpg,"[""One Size""]","[""Navy"", ""Blush""]",145,False,4.5,2025-08-14T00:00:00
p126,signature-tweed-shorts-126,Signature Tweed Shorts,"Signature tweed shorts crafted with premium materials, designed for everyday luxury.",707.68,c5,/images/signature-tweed-shorts-126.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Burgundy"", ""Beige""]",50,False,4.8,2025-03-02T00:00:00
p127,modern-tweed-trousers-127,Modern Tweed Trousers,"Modern tweed trousers crafted with premium materials, designed for everyday luxury.",26.97,c1,/images/modern-tweed-trousers-127.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Brown"", ""Navy"", ""Burgundy"", ""Ivory""]",160,False,4.7,2025-08-10T00:00:00
p128,bold-leather-lipstick-128,Bold Leather Lipstick,"Bold leather lipstick crafted with premium materials, designed for everyday luxury.",427.26,c6,/images/bold-leather-lipstick-128.jpg,"[""One Size""]","[""Beige"", ""Camel""]",68,True,3.8,2025-02-16T00:00:00
p129,minimal-velvet-espadrilles-129,Minimal Velvet Espadrilles,"Minimal velvet espadrilles crafted with premium materials, designed for everyday luxury.",67.12,c4,/images/minimal-velvet-espadrilles-129.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Burgundy"", ""White"", ""Brown""]",119,False,3.6,2025-08-19T00:00:00
p130,vintage-leather-perfume-130,Vintage Leather Perfume,"Vintage leather perfume crafted with premium materials, designed for everyday luxury.",260.26,c6,/images/vintage-leather-perfume-130.jpg,"[""One Size""]","[""Rust"", ""Grey"", ""Olive"", ""White""]",112,False,4.2,2025-06-29T00:00:00
p131,soft-cashmere-wallet-131,Soft Cashmere Wallet,"Soft cashmere wallet crafted with premium materials, designed for everyday luxury.",719.64,c3,/images/soft-cashmere-wallet-131.jpg,"[""One Size""]","[""Olive"", ""Camel"", ""Burgundy""]",179,True,3.5,2025-06-27T00:00:00
p132,sculpted-denim-gloves-132,Sculpted Denim Gloves,"Sculpted denim gloves crafted with premium materials, designed for everyday luxury.",125.53,c3,/images/sculpted-denim-gloves-132.jpg,"[""One Size""]","[""Ivory"", ""Blush""]",61,False,4.6,2025-03-15T00:00:00
p133,soft-tweed-eyeliner-133,Soft Tweed Eyeliner,"Soft tweed eyeliner crafted with premium materials, designed for everyday luxury.",606.5,c6,/images/soft-tweed-eyeliner-133.jpg,"[""One Size""]","[""Beige"", ""Olive"", ""Camel""]",95,False,4.8,2025-07-22T00:00:00
