id,slug,name,description,price,category_id,image_url,sizes,colors,stock,is_featured,created_at
p013,luxe-cashmere-hoodie-13,Luxe Cashmere Hoodie,Luxe cashmere hoodie crafted with premium materials.,124.27,c2,/images/luxe-cashmere-hoodie-13.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Grey"", ""Black"", ""Brown""]",17,False,2025-02-09T00:00:00
p014,classic-denim-coat-14,Classic Denim Coat,Classic denim coat crafted with premium materials.,305.28,c2,/images/classic-denim-coat-14.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Brown"", ""Olive"", ""Navy""]",49,False,2025-05-22T00:00:00
p015,oversized-cotton-polo-15,Oversized Cotton Polo,Oversized cotton polo crafted with premium materials.,346.22,c2,/images/oversized-cotton-polo-15.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Olive"", ""Brown"", ""Cream""]",68,False,2025-03-17T00:00:00
p016,luxe-linen-suit-16,Luxe Linen Suit,Luxe linen suit crafted with premium materials.,236.79,c2,/images/luxe-linen-suit-16.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Olive"", ""Grey"", ""White""]",92,False,2025-01-28T00:00:00
p017,vintage-suede-bag-17,Vintage Suede Bag,Vintage suede bag crafted with premium materials.,311.31,c3,/images/vintage-suede-bag-17.jpg,"[""One Size""]","[""Cream"", ""Brown"", ""White""]",19,False,2025-07-19T00:00:00
p018,bold-wool-wallet-18,Bold Wool Wallet,Bold wool wallet crafted with premium materials.,306.49,c3,/images/bold-wool-wallet-18.jpg,"[""One Size""]","[""Black"", ""Grey"", ""Beige""]",62,False,2025-03-20T00:00:00
p019,premium-wool-belt-19,Premium Wool Belt,Premium wool belt crafted with premium materials.,134.62,c3,/images/premium-wool-belt-19.jpg,"[""One Size""]","[""White"", ""Black"", ""Cream""]",72,False,2025-01-18T00:00:00
p020,bold-linen-scarf-20,Bold Linen Scarf,Bold linen scarf crafted with premium materials.,80.63,c3,/images/bold-linen-scarf-20.jpg,"[""One Size""]","[""Beige"", ""Grey"", ""Olive""]",60,False,2025-04-19T00:00:00
p021,premium-suede-hat-21,Premium Suede Hat,Premium suede hat crafted with premium materials.,381.53,c3,/images/premium-suede-hat-21.jpg,"[""One Size""]","[""Navy"", ""Cream"", ""Beige""]",88,False,2025-06-21T00:00:00
p022,modern-velvet-sunglasses-22,Modern Velvet Sunglasses,Modern velvet sunglasses crafted with premium materials.,450.81,c3,/images/modern-velvet-sunglasses-22.jpg,"[""One Size""]","[""White"", ""Grey"", ""Brown""]",57,True,2025-01-06T00:00:00
p023,minimal-suede-watch-23,Minimal Suede Watch,Minimal suede watch crafted with premium materials.,129.46,c3,/images/minimal-suede-watch-23.jpg,"[""One Size""]","[""Black"", ""Grey"", ""Cream""]",28,False,2025-02-28T00:00:00
p024,slim-wool-gloves-24,Slim Wool Gloves,Slim wool gloves crafted with premium materials.,431.62,c3,/images/slim-wool-gloves-24.jpg,"[""One Size""]","[""Navy"", ""Beige"", ""Cream""]",9,False,2025-05-19T00:00:00
p025,classic-knit-boots-25,Classic Knit Boots,Classic knit boots crafted with premium materials.,295.58,c4,/images/classic-knit-boots-25.jpg,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42""]","[""Grey"", ""Brown"", ""Navy""]",31,True,2025-01-25T00:00:00
p026,luxe-cashmere-sneakers-26,Luxe Cashmere Sneakers,Luxe cashmere sneakers crafted with premium materials.,222.32,c4,/images/luxe-cashmere-sneakers-26.jpg,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42""]","[""Black"", ""Cream"", ""Brown""]",59,False,2025-01-26T00:00:00
p027,oversized-denim-loafers-27,Oversized Denim Loafers,Oversized denim loafers crafted with premium materials.,368.54,c4,/images/oversized-denim-loafers-27.jpg,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42""]","[""White"", ""Grey"", ""Brown""]",102,True,2025-04-25T00:00:00
p028,classic-denim-heels-28,Classic Denim Heels,Classic denim heels crafted with premium materials.,107.07,c4,/images/classic-denim-heels-28.jpg,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42""]","[""Navy"", ""Brown"", ""Black""]",59,False,2025-05-21T00:00:00
p029,slim-wool-sandals-29,Slim Wool Sandals,Slim wool sandals crafted with premium materials.,332.03,c4,/images/slim-wool-sandals-29.jpg,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42""]","[""Black"", ""Grey"", ""White""]",69,True,2025-05-05T00:00:00
p030,soft-silk-mules-30,Soft Silk Mules,Soft silk mules crafted with premium materials.,434.03,c4,/images/soft-silk-mules-30.jpg,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42""]","[""Black"", ""White"", ""Navy""]",115,True,2025-04-10T00:00:00
p031,vintage-velvet-flats-31,Vintage Velvet Flats,Vintage velvet flats crafted with premium materials.,155.92,c4,/images/vintage-velvet-flats-31.jpg,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42""]","[""Grey"", ""White"", ""Brown""]",89,False,2025-01-15T00:00:00
p032,minimal-suede-trainers-32,Minimal Suede Trainers,Minimal suede trainers crafted with premium materials.,48.26,c4,/images/minimal-suede-trainers-32.jpg,"[""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42""]","[""Black"", ""Grey"", ""Olive""]",40,False,2025-05-16T00:00:00
p033,classic-wool-tee-33,Classic Wool Tee,Classic wool tee crafted with premium materials.,480.17,c5,/images/classic-wool-tee-33.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""Black"", ""Olive""]",10,True,2025-03-02T00:00:00
p034,luxe-cotton-dress-34,Luxe Cotton Dress,Luxe cotton dress crafted with premium materials.,470.97,c5,/images/luxe-cotton-dress-34.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Navy"", ""Olive"", ""Brown""]",72,True,2025-01-21T00:00:00
p035,luxe-knit-shorts-35,Luxe Knit Shorts,Luxe knit shorts crafted with premium materials.,290.31,c5,/images/luxe-knit-shorts-35.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Olive"", ""White"", ""Cream""]",40,False,2025-03-03T00:00:00
p036,vintage-denim-jacket-36,Vintage Denim Jacket,Vintage denim jacket crafted with premium materials.,81.82,c5,/images/vintage-denim-jacket-36.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Olive"", ""Navy"", ""Beige""]",82,False,2025-01-19T00:00:00
p037,oversized-velvet-hoodie-37,Oversized Velvet Hoodie,Oversized velvet hoodie crafted with premium materials.,317.16,c5,/images/oversized-velvet-hoodie-37.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White"", ""Black"", ""Olive""]",72,True,2025-03-09T00:00:00
p038,classic-cashmere-pants-38,Classic Cashmere Pants,Classic cashmere pants crafted with premium materials.,441.81,c5,/images/classic-cashmere-pants-38.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Navy"", ""Beige"", ""Brown""]",112,True,2025-05-20T00:00:00
p039,vintage-knit-perfume-39,Vintage Knit Perfume,Vintage knit perfume crafted with premium materials.,491.25,c6,/images/vintage-knit-perfume-39.jpg,"[""One Size""]","[""Black"", ""Cream"", ""Olive""]",103,False,2025-06-19T00:00:00
p040,slim-linen-lipstick-40,Slim Linen Lipstick,Slim linen lipstick crafted with premium materials.,145.94,c6,/images/slim-linen-lipstick-40.jpg,"[""One Size""]","[""White"", ""Cream"", ""Olive""]",113,True,2025-03-14T00:00:00
p041,minimal-silk-cream-41,Minimal Silk Cream,Minimal silk cream crafted with premium materials.,363.45,c6,/images/minimal-silk-cream-41.jpg,"[""One Size""]","[""Olive"", ""Grey"", ""Navy""]",26,False,2025-01-14T00:00:00
p042,slim-denim-serum-42,Slim Denim Serum,Slim denim serum crafted with premium materials.,417.09,c6,/images/slim-denim-serum-42.jpg,"[""One Size""]","[""Black"", ""Beige"", ""White""]",5,False,2025-03-09T00:00:00
p043,classic-velvet-mascara-43,Classic Velvet Mascara,Classic velvet mascara crafted with premium materials.,283.81,c6,/images/classic-velvet-mascara-43.jpg,"[""One Size""]","[""Black"", ""Grey"", ""Brown""]",54,False,2025-06-26T00:00:00
p044,classic-suede-foundation-44,Classic Suede Foundation,Classic suede foundation crafted with premium materials.,36.29,c6,/images/classic-suede-foundation-44.jpg,"[""One Size""]","[""Beige"", ""Navy"", ""White""]",47,True,2025-04-04T00:00:00
